Player,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Jordan Mason,163.9,754.4,4.4,17.6,128.3,0.7,0.7,117.9,12.0,13.0,37.0,29.0,1.0,1.0,-3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,156.0,444.0,348.0,12.0,12.0,-36.0,24.0,12.0,0.0,0.0,0.0,12.0,0.0
Javonte Williams,174.9,645.7,4.2,35.9,229.2,1.1,0.9,117.5,17.0,8.0,15.0,15.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,136.0,255.0,255.0,0.0,17.0,-34.0,17.0,0.0,0.0,0.0,0.0,68.0,0.0
Rhamondre Stevenson,156.7,636.8,4.8,28.0,177.1,1.1,1.5,113.5,15.0,14.0,25.0,29.0,1.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,210.0,375.0,435.0,15.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,45.0,15.0
Travis Etienne Jr.,141.1,577.1,3.7,37.7,279.0,1.2,0.9,112.7,15.0,10.0,19.0,18.0,0.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,150.0,285.0,270.0,0.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0
Austin Ekeler,95.3,414.8,4.1,44.7,367.0,1.8,1.0,111.2,12.0,6.0,19.0,11.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,72.0,228.0,132.0,0.0,12.0,-12.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0
Zach Charbonnet,126.7,536.0,4.5,33.2,244.8,0.9,0.8,108.8,17.0,8.0,16.0,18.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,136.0,272.0,306.0,17.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,51.0,0.0
Quinshon Judkins,145.8,620.4,3.9,21.2,160.4,0.9,1.2,104.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Najee Harris,138.7,558.9,4.8,21.8,158.1,0.8,0.8,103.6,17.0,15.0,30.0,32.0,1.0,1.0,-3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,255.0,510.0,544.0,17.0,17.0,-51.0,34.0,17.0,0.0,0.0,0.0,51.0,0.0
Rachaad White,114.5,462.5,2.8,37.6,282.8,2.1,1.3,101.7,16.0,9.0,14.0,24.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,144.0,224.0,384.0,16.0,16.0,-32.0,16.0,0.0,0.0,0.0,0.0,64.0,16.0
Tyjae Spears,124.6,498.2,3.7,33.6,251.9,1.0,0.9,101.3,12.0,7.0,11.0,15.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,84.0,132.0,180.0,12.0,12.0,-24.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0
Cam Skattebo,129.4,556.0,3.6,24.8,190.9,0.9,1.2,99.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tank Bigsby,151.8,612.8,4.8,11.2,81.6,0.2,1.2,97.0,16.0,11.0,18.0,29.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,176.0,288.0,464.0,16.0,16.0,-16.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
Jerome Ford,132.3,543.8,2.8,30.5,206.9,0.8,0.8,95.3,14.0,7.0,25.0,16.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,98.0,350.0,224.0,0.0,14.0,-28.0,14.0,0.0,0.0,0.0,0.0,42.0,0.0
Trey Benson,130.6,576.0,3.9,13.7,104.6,0.4,0.9,92.5,13.0,5.0,12.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,156.0,130.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Wright,134.7,565.2,3.7,14.6,100.5,0.6,1.5,88.9,15.0,5.0,8.0,8.0,0.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,120.0,120.0,0.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Davis,118.8,499.5,3.7,12.4,105.5,1.0,0.8,87.1,17.0,7.0,13.0,13.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,119.0,221.0,221.0,0.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Dylan Sampson,118.7,480.9,2.7,23.3,177.4,0.9,0.8,85.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Allgeier,119.8,549.7,3.3,12.7,92.2,0.3,0.8,84.3,17.0,8.0,17.0,21.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,136.0,289.0,357.0,0.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Jaydon Blue,109.2,476.9,2.9,19.3,150.7,0.8,0.8,83.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isaac Guerendo,113.1,488.7,3.9,10.6,93.2,0.4,0.9,81.9,16.0,5.0,11.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,176.0,240.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
Rico Dowdle,107.3,459.1,2.6,20.9,143.0,1.1,0.8,80.9,16.0,15.0,36.0,32.0,1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,240.0,576.0,512.0,16.0,16.0,-32.0,32.0,0.0,0.0,0.0,0.0,48.0,0.0
Nick Chubb,118.9,484.0,3.8,9.9,75.6,0.4,0.5,80.5,8.0,13.0,21.0,20.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,168.0,160.0,8.0,8.0,-16.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
Roschon Johnson,96.6,346.6,5.0,19.0,123.9,0.5,0.4,78.7,13.0,4.0,6.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,52.0,78.0,65.0,0.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Braelon Allen,105.0,404.9,2.7,16.6,123.1,0.8,0.4,73.3,17.0,5.0,8.0,11.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,136.0,187.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Bhayshul Tuten,91.9,398.0,2.7,17.5,138.0,0.8,0.8,73.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MarShawn Lloyd,105.6,381.6,2.9,13.5,108.4,0.7,0.8,69.2,1.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kareem Hunt,82.4,314.4,3.3,18.3,125.9,0.7,0.1,68.1,13.0,15.0,31.0,25.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,195.0,403.0,325.0,13.0,13.0,-13.0,13.0,0.0,0.0,0.0,0.0,26.0,13.0
Miles Sanders,93.9,404.7,2.3,12.0,77.2,0.6,0.5,64.5,11.0,5.0,11.0,7.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,55.0,121.0,77.0,0.0,11.0,-11.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Kendre Miller,95.0,365.9,3.4,9.7,72.6,0.2,0.4,64.5,7.0,6.0,8.0,13.0,1.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,56.0,91.0,7.0,7.0,-21.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
Raheem Mostert,77.5,289.9,2.6,18.1,133.8,0.6,0.8,60.0,13.0,7.0,11.0,10.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,91.0,143.0,130.0,0.0,13.0,-26.0,13.0,0.0,0.0,0.0,0.0,26.0,0.0
Blake Corum,96.3,350.7,2.4,12.0,87.4,0.3,0.4,59.5,15.0,4.0,8.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,120.0,90.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Justice Hill,41.8,185.1,1.1,27.3,222.6,1.7,0.4,56.7,15.0,3.0,6.0,9.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,45.0,90.0,135.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0
Woody Marks,72.3,259.1,1.8,20.0,146.4,1.0,0.1,56.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keaton Mitchell,75.2,330.0,1.7,8.6,83.4,0.5,0.0,54.1,4.0,4.0,2.0,6.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,24.0,4.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samaje Perine,51.2,200.4,1.5,21.2,195.7,1.1,0.7,53.5,17.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,51.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Khalil Herbert,84.6,325.0,2.1,8.3,54.0,0.2,0.0,51.8,12.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,72.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Ty Johnson,45.7,208.1,1.0,15.2,164.8,1.5,0.1,51.6,17.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Jarquez Hunter,57.1,245.0,1.9,8.5,68.7,0.4,0.7,43.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Gibson,51.5,209.5,1.0,15.7,127.0,0.5,0.0,42.4,17.0,7.0,13.0,19.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,119.0,221.0,323.0,17.0,17.0,-34.0,17.0,0.0,0.0,0.0,0.0,34.0,0.0
Elijah Mitchell,62.5,235.9,1.9,8.5,49.6,0.4,0.1,42.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Devin Singletary,51.8,235.2,1.5,9.4,63.3,0.1,0.4,39.1,16.0,7.0,13.0,14.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,208.0,224.0,16.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0
Trevor Etienne,47.8,191.3,1.5,10.7,86.8,0.4,0.4,38.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tahj Brooks,24.9,225.4,1.9,6.7,48.2,0.1,0.6,38.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenneth Gainwell,53.9,196.5,1.3,12.5,88.6,0.4,0.4,37.7,17.0,4.0,10.0,8.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,170.0,136.0,0.0,0.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Will Shipley,37.4,199.7,1.3,8.3,61.8,0.4,0.1,36.3,13.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Tucker,44.8,231.4,1.4,5.1,40.1,0.3,0.7,36.1,17.0,3.0,11.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,187.0,136.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Devin Neal,39.1,204.6,1.3,7.3,54.5,0.4,0.1,35.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emanuel Wilson,41.9,202.7,1.4,7.4,53.9,0.4,0.3,35.6,17.0,6.0,15.0,14.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,102.0,255.0,238.0,17.0,0.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Kyle Monangai,33.4,213.0,1.8,4.4,31.6,0.0,0.0,35.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
