Player,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Kyle Juszczyk,6.7,26.8,0.4,14.1,136.3,1.1,0.4,24.2,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Isaiah Davis,28.3,144.5,0.8,5.1,36.3,0.1,0.0,23.7,14.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,70.0,112.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0
Chris Brooks,30.9,139.4,0.9,5.0,32.1,0.0,0.0,22.9,13.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,78.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
Clyde Edwards-Helaire,41.5,126.7,0.6,5.7,42.7,0.3,0.1,22.1,2.0,7.0,9.0,15.0,2.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,18.0,30.0,4.0,2.0,-2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0
Kimani Vidal,35.4,105.4,0.6,5.4,41.2,0.3,0.0,20.0,10.0,4.0,8.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,80.0,70.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Chris Rodriguez Jr.,33.0,121.8,0.9,1.8,13.4,0.0,0.0,19.3,8.0,4.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,64.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sincere McCormick,23.7,112.9,0.8,4.3,29.9,0.1,0.1,19.2,4.0,10.0,23.0,23.0,1.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,92.0,92.0,4.0,4.0,-8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0
Emari Demercado,18.7,106.3,0.4,8.1,54.0,0.1,0.0,19.1,13.0,2.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,91.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
Ty Chandler,18.9,96.3,0.7,5.5,38.9,0.1,0.0,18.4,15.0,4.0,9.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,135.0,60.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Akers,36.1,113.4,0.6,3.0,20.4,0.1,0.0,18.0,16.0,7.0,14.0,14.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,112.0,224.0,224.0,0.0,16.0,-32.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
Patrick Taylor Jr.,30.0,101.7,0.6,2.6,19.6,0.1,0.0,16.2,9.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
Kalel Mullings,10.4,96.5,0.6,3.0,21.8,0.0,0.0,15.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Damien Martinez,8.6,97.0,0.6,3.0,22.0,0.0,0.0,15.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dameon Pierce,4.5,81.6,0.7,5.8,40.1,0.1,1.0,15.4,11.0,4.0,7.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,77.0,220.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Goodson,16.5,67.0,0.3,4.3,30.3,0.3,0.0,13.7,16.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,96.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Rasheen Ali,5.2,80.8,0.6,2.4,17.7,0.1,0.0,13.6,5.0,2.0,3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,15.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy McNichols,19.7,73.6,0.7,2.7,15.3,0.0,0.0,13.4,17.0,3.0,6.0,10.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,102.0,170.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Raheem Blackshear,30.4,86.8,0.5,2.8,20.6,0.1,0.5,13.2,16.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Burton,6.7,14.6,0.6,7.1,45.6,0.6,0.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Craig Reynolds,8.5,38.0,0.1,6.9,55.9,0.4,0.0,12.4,14.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,98.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travis Homer,22.2,71.6,0.3,3.3,25.0,0.1,0.0,12.3,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Rivers,31.7,90.4,0.5,0.3,2.3,0.0,0.0,12.2,7.0,3.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,70.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Alec Ingold,8.9,21.2,0.6,6.1,44.1,0.4,0.4,11.6,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
C.J. Ham,3.0,13.6,1.0,5.3,34.8,0.1,0.0,11.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Carter,9.6,41.2,0.2,6.6,44.9,0.3,0.0,11.3,4.0,9.0,20.0,13.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,36.0,80.0,52.0,0.0,4.0,-4.0,4.0,0.0,0.0,0.0,0.0,12.0,4.0
Pierre Strong Jr.,15.9,53.9,0.2,4.4,32.7,0.1,0.0,10.6,13.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,65.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
LeQuint Allen Jr.,4.0,50.9,0.6,3.0,22.0,0.0,0.0,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carson Steele,27.3,70.3,0.3,4.1,21.9,0.1,0.7,10.2,16.0,4.0,5.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,80.0,96.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Jordan Mims,14.8,62.1,0.3,2.0,14.1,0.1,0.0,9.9,8.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,48.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Israel Abanikanda,13.3,54.8,0.4,1.3,10.7,0.1,0.0,9.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hassan Haskins,16.0,36.3,0.3,1.7,14.7,0.3,0.3,8.4,15.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dare Ogunbowale,5.2,24.9,0.1,5.3,40.6,0.2,0.0,8.0,17.0,2.0,4.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,68.0,34.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Julius Chestnut,9.9,30.3,0.1,4.4,31.6,0.2,0.0,7.9,14.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,56.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Gore Jr.,10.2,42.8,0.2,2.0,14.9,0.1,0.0,7.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick Ricard,4.1,11.5,0.1,3.4,28.0,0.5,0.0,7.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deuce Vaughn,9.0,35.4,0.1,3.1,21.4,0.1,0.0,7.0,6.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,36.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Gary Brightwell,8.1,33.8,0.2,2.4,16.7,0.1,0.0,6.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Gray,11.9,42.7,0.2,1.9,14.4,0.1,0.5,6.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Jashaun Corbin,9.3,35.1,0.2,1.5,10.6,0.0,0.0,5.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darrynton Evans,5.1,21.3,0.1,1.9,15.3,0.1,0.0,4.9,2.0,2.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Luepke,4.2,14.6,0.1,3.9,26.6,0.1,0.0,4.9,16.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
Jase McClellan,0.0,34.0,0.0,2.0,14.0,0.0,0.0,4.8,3.0,4.0,4.0,6.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,18.0,0.0,3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeeJay Dallas,5.8,22.2,0.1,3.2,21.4,0.1,0.5,4.4,16.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. Taylor,0.0,0.0,0.0,4.2,28.0,0.2,0.0,4.1,4.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Trey Sermon,5.0,20.8,0.1,1.6,11.5,0.1,0.0,3.9,15.0,4.0,5.0,6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,75.0,90.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
Zonovan Knight,2.4,10.1,0.1,2.1,15.3,0.1,0.0,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elijah Dotson,2.6,10.9,0.1,2.0,13.8,0.1,0.0,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Velus Jones Jr.,2.4,10.5,0.1,1.9,13.5,0.1,0.0,3.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Terrell Jennings,2.4,10.1,0.1,1.9,14.6,0.1,0.0,3.3,2.0,7.0,10.0,7.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,20.0,14.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Dylan Laube,0.0,10.0,0.0,1.5,11.0,0.0,0.0,2.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robbie Ouzts,0.0,0.0,0.0,2.0,15.0,0.1,0.0,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carlos Washington Jr.,0.0,15.0,0.0,0.5,3.5,0.0,0.0,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Matlock,0.0,0.0,0.0,2.2,14.7,0.1,0.0,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raheim Sanders,0.0,10.5,0.0,1.0,7.5,0.0,0.0,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Badie,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4,3.0,4.0,7.0,21.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,21.0,63.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
Phil Mafah,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Wilson Jr.,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4,7.0,2.0,3.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,35.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trayveon Williams,1.2,5.1,0.0,1.0,7.0,0.0,0.0,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George Holani,0.0,8.5,0.0,0.5,3.5,0.0,0.0,1.2,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Ernest Johnson,0.0,8.5,0.0,0.5,3.5,0.0,0.0,1.2,12.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,84.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
Avery Williams,1.4,5.7,0.0,1.6,10.9,0.1,0.5,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keilan Robinson,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sione Vaki,0.0,4.5,0.0,0.5,3.5,0.0,0.0,0.8,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JaMycal Hasty,0.0,4.0,0.0,0.5,3.5,0.0,0.0,0.8,12.0,2.0,3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,36.0,36.0,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Myles Gaskin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyheim Miller-Hines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Beck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jakob Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ke'Shawn Vaughn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvon Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reggie Gilliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0,14.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Demetric Felton Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaret Patterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deon Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keaontay Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brittain Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malik Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evan Hull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lew Nichols III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deneric Prince,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben VanSumeren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brady Russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Owen Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jonathon Brooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,15.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Jawhar Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dante Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blake Watson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
