Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Colston Loveland,52.8,554.0,3.8,0.8,76.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cade Otton,52.3,532.2,4.0,0.5,76.0,14.0,4.0,43.0,21.0,34.0,22.0,10.0,0.0,6.0,5.0,1.0,1.0,2.0,1.0,56.0,602.0,294.0,476.0,308.0,140.0,0.0,84.0,70.0,14.0,14.0,28.0,14.0
Brenton Strange,55.3,548.7,3.3,0.5,73.6,17.0,2.0,24.0,13.0,20.0,11.0,6.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,34.0,408.0,221.0,340.0,187.0,102.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Mike Gesicki,52.8,518.2,3.6,0.4,72.6,17.0,4.0,39.0,25.0,36.0,14.0,3.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,68.0,663.0,425.0,612.0,238.0,51.0,0.0,85.0,68.0,0.0,17.0,34.0,0.0
Chig Okonkwo,53.8,537.2,2.9,0.8,69.9,17.0,3.0,28.0,14.0,25.0,15.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,238.0,425.0,255.0,119.0,0.0,68.0,51.0,0.0,0.0,17.0,0.0
Juwan Johnson,48.9,501.0,3.3,0.2,69.5,17.0,3.0,32.0,20.0,32.0,12.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,51.0,544.0,340.0,544.0,204.0,51.0,0.0,68.0,51.0,0.0,0.0,34.0,0.0
Dalton Schultz,49.9,510.1,3.1,0.4,68.9,17.0,3.0,31.0,19.0,41.0,13.0,4.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,51.0,527.0,323.0,697.0,221.0,68.0,0.0,85.0,51.0,0.0,0.0,17.0,0.0
Pat Freiermuth,51.2,493.5,3.5,0.9,68.7,17.0,4.0,38.0,22.0,28.0,16.0,6.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,68.0,646.0,374.0,476.0,272.0,102.0,0.0,85.0,68.0,0.0,17.0,17.0,0.0
Tyler Higbee,45.3,425.2,3.7,0.1,64.4,3.0,3.0,22.0,6.0,9.0,16.0,5.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,9.0,66.0,18.0,27.0,48.0,15.0,0.0,12.0,9.0,0.0,6.0,3.0,0.0
Robbie Ouzts,48.0,479.0,3.0,1.0,63.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theo Johnson,43.1,470.5,2.7,0.1,63.0,12.0,2.0,28.0,15.0,24.0,12.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,336.0,180.0,288.0,144.0,24.0,0.0,48.0,36.0,0.0,0.0,12.0,0.0
Elijah Arroyo,41.1,436.0,2.9,0.4,60.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mason Taylor,44.9,452.7,2.6,0.5,59.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Dissly,37.8,370.5,2.5,0.0,52.0,15.0,3.0,32.0,12.0,20.0,20.0,7.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,45.0,480.0,180.0,300.0,300.0,105.0,0.0,60.0,60.0,0.0,15.0,15.0,0.0
Noah Fant,36.2,370.6,2.4,0.1,51.6,14.0,3.0,36.0,16.0,25.0,20.0,6.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,42.0,504.0,224.0,350.0,280.0,84.0,0.0,70.0,56.0,0.0,0.0,28.0,0.0
Ja'Tavion Sanders,38.5,388.6,2.1,0.1,51.1,16.0,2.0,21.0,10.0,17.0,12.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,336.0,160.0,272.0,192.0,64.0,0.0,48.0,32.0,0.0,0.0,16.0,0.0
Tyler Conklin,36.4,352.8,2.5,0.1,49.9,16.0,3.0,28.0,12.0,22.0,16.0,5.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,48.0,448.0,192.0,352.0,256.0,80.0,0.0,80.0,48.0,0.0,16.0,16.0,0.0
AJ Barner,32.4,302.4,2.4,0.1,44.3,17.0,2.0,14.0,5.0,8.0,10.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,238.0,85.0,136.0,170.0,51.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Noah Gray,28.2,285.4,2.6,0.0,43.9,17.0,2.0,26.0,13.0,18.0,12.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,442.0,221.0,306.0,204.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Cole Kmet,30.0,288.6,2.3,0.4,41.7,17.0,3.0,28.0,17.0,23.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,289.0,391.0,187.0,51.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Foster Moreau,23.0,259.8,1.9,0.1,37.2,17.0,2.0,24.0,15.0,23.0,9.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,34.0,408.0,255.0,391.0,153.0,51.0,0.0,51.0,34.0,0.0,17.0,17.0,0.0
Austin Hooper,26.5,263.1,1.7,0.4,35.6,17.0,3.0,28.0,15.0,20.0,13.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,255.0,340.0,221.0,68.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Dawson Knox,21.9,238.0,1.9,0.0,35.2,16.0,1.0,19.0,14.0,18.0,6.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,16.0,304.0,224.0,288.0,96.0,32.0,0.0,32.0,16.0,0.0,0.0,16.0,0.0
Michael Mayer,27.7,257.3,1.6,0.1,35.2,11.0,2.0,14.0,9.0,18.0,6.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,22.0,154.0,99.0,198.0,66.0,22.0,0.0,33.0,22.0,0.0,11.0,0.0,0.0
Terrance Ferguson,23.0,235.5,1.9,0.4,34.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Oliver,20.2,211.1,1.7,0.1,31.2,15.0,1.0,17.0,9.0,15.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,15.0,255.0,135.0,225.0,135.0,30.0,0.0,30.0,30.0,0.0,0.0,15.0,0.0
Harold Fannin Jr.,23.7,234.3,1.2,0.4,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tommy Tremble,19.2,183.6,1.7,0.4,27.8,12.0,2.0,20.0,9.0,15.0,10.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,24.0,240.0,108.0,180.0,120.0,60.0,0.0,36.0,24.0,0.0,0.0,12.0,0.0
Luke Musgrave,19.1,186.4,1.4,0.0,27.1,7.0,1.0,6.0,4.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,42.0,28.0,63.0,21.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
Brock Wright,15.0,134.8,2.2,0.0,26.4,17.0,1.0,6.0,1.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,17.0,85.0,68.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Ben Sinnott,17.9,176.9,1.5,0.1,26.4,17.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oronde Gadsden II,16.5,168.9,1.4,0.0,25.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taysom Hill,12.3,104.7,0.7,0.3,24.8,8.0,3.0,23.0,6.0,14.0,17.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,184.0,48.0,112.0,136.0,56.0,0.0,32.0,24.0,0.0,0.0,8.0,0.0
Jeremy Ruckert,18.7,161.6,1.2,0.0,23.4,17.0,1.0,6.0,1.0,6.0,5.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,17.0,102.0,85.0,17.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0
Cade Stover,16.9,160.7,1.2,0.0,23.3,15.0,1.0,9.0,3.0,8.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,135.0,45.0,120.0,90.0,30.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
Adam Trautman,12.6,136.7,1.4,0.0,21.8,17.0,1.0,11.0,5.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,187.0,85.0,119.0,102.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Gunnar Helm,16.4,163.3,0.9,0.4,20.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luke Schoonmaker,14.9,132.3,1.2,0.0,20.1,17.0,2.0,14.0,8.0,12.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,238.0,136.0,204.0,102.0,34.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Josh Whyle,16.7,152.9,0.7,0.0,19.5,17.0,2.0,15.0,6.0,12.0,8.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,255.0,102.0,204.0,136.0,34.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Charlie Woerner,14.0,130.9,1.0,0.0,19.2,16.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,32.0,32.0,16.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
Daniel Bellinger,14.9,139.8,0.8,0.0,18.9,17.0,1.0,7.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,119.0,68.0,85.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Julian Hill,14.7,133.4,0.9,0.4,18.2,16.0,1.0,6.0,3.0,8.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,96.0,48.0,128.0,64.0,32.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
Jake Briningstool,12.0,121.0,1.0,0.0,18.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jelani Woods,7.0,117.0,1.0,0.0,17.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Payne Durham,10.8,104.6,1.2,0.0,17.6,16.0,1.0,7.0,6.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,112.0,96.0,128.0,32.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
Elijah Higgins,11.4,110.3,1.1,0.0,17.4,17.0,1.0,10.0,5.0,6.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,170.0,85.0,102.0,85.0,34.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Keleki Latu,10.0,111.0,1.0,0.0,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darnell Washington,12.3,123.3,0.7,0.0,16.6,17.0,1.0,12.0,4.0,6.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,204.0,68.0,102.0,119.0,51.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Johnny Mundt,13.4,115.6,0.8,0.0,16.6,15.0,1.0,9.0,4.0,7.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,135.0,60.0,105.0,90.0,15.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0
Nate Adkins,8.5,69.8,1.6,0.0,16.5,17.0,1.0,7.0,2.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,119.0,34.0,68.0,68.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Colby Parkinson,10.6,106.9,0.9,0.0,15.8,17.0,2.0,17.0,8.0,15.0,9.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,34.0,289.0,136.0,255.0,153.0,34.0,0.0,51.0,34.0,0.0,17.0,17.0,0.0
Grant Calcaterra,10.8,109.6,0.8,0.0,15.7,17.0,1.0,18.0,10.0,13.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,17.0,306.0,170.0,221.0,119.0,17.0,0.0,34.0,17.0,0.0,0.0,17.0,0.0
Connor Heyward,10.2,87.6,1.2,0.0,15.7,17.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Ogletree,6.9,86.9,0.8,0.0,13.7,17.0,1.0,6.0,3.0,9.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,51.0,153.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Drew Sample,10.4,82.5,0.8,0.0,12.8,17.0,1.0,6.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,102.0,34.0,34.0,85.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Pharaoh Brown,10.0,93.4,0.5,0.0,12.1,10.0,1.0,7.0,4.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,70.0,40.0,50.0,30.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Teagan Quitoriano,5.5,89.5,0.5,0.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lawrence Cager,5.5,57.0,1.0,0.0,11.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gavin Bartholomew,7.0,75.0,0.6,0.0,11.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brevyn Spann-Ford,7.3,69.6,0.6,0.0,10.7,17.0,1.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,85.0,34.0,85.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Lucas Krull,8.3,79.8,0.4,0.0,10.3,13.0,1.0,12.0,7.0,9.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0,156.0,91.0,117.0,65.0,26.0,0.0,26.0,13.0,0.0,0.0,13.0,0.0
Devin Culp,6.1,65.6,0.6,0.0,10.1,5.0,1.0,18.0,11.0,15.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,90.0,55.0,75.0,30.0,20.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0
Charlie Kolar,5.7,71.7,0.4,0.0,9.9,13.0,1.0,10.0,4.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,130.0,52.0,65.0,78.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Tanner McLachlan,7.0,68.5,0.5,0.0,9.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hunter Long,8.4,76.2,0.4,0.0,9.8,11.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,55.0,33.0,33.0,33.0,11.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
Giovanni Ricci,8.0,96.0,0.0,0.0,9.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaheim Bell,6.4,64.1,0.5,0.0,9.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brenden Bates,6.5,61.4,0.5,0.0,9.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Bates,5.9,54.9,0.6,0.0,9.3,17.0,0.0,5.0,2.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,34.0,68.0,51.0,17.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
Tanner Conner,7.0,58.3,0.6,0.0,9.3,7.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,49.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Kenny Yeboah,6.0,61.5,0.5,0.0,9.2,7.0,1.0,7.0,2.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,49.0,14.0,35.0,35.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
Luke Farrell,6.6,64.6,0.4,0.0,9.1,12.0,1.0,6.0,3.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,72.0,36.0,84.0,36.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
Eric Saubert,6.9,60.9,0.5,0.0,8.8,13.0,1.0,7.0,5.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,91.0,65.0,91.0,39.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Luke Lachey,5.5,56.5,0.5,0.0,8.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
