Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Adam Thielen,61.8,657.9,4.5,0.0,1.8,0.0,0.5,91.7,10.0,5.0,62.0,46.0,68.0,15.0,4.0,0.0,6.0,5.0,0.0,1.0,2.0,1.0,50.0,620.0,460.0,680.0,150.0,40.0,0.0,60.0,50.0,0.0,10.0,20.0,10.0
Cedric Tillman,55.6,690.9,3.9,0.7,0.8,0.0,0.9,90.5,11.0,3.0,31.0,21.0,50.0,9.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,33.0,341.0,231.0,550.0,99.0,44.0,0.0,44.0,33.0,0.0,0.0,11.0,11.0
Emeka Egbuka,49.1,635.1,4.4,2.2,11.1,0.0,1.1,89.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xavier Legette,54.3,613.2,3.9,6.2,29.0,0.1,0.5,86.9,16.0,3.0,31.0,24.0,65.0,7.0,3.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,48.0,496.0,384.0,1040.0,112.0,48.0,0.0,80.0,64.0,0.0,16.0,16.0,0.0
Jayden Higgins,47.2,631.9,3.7,0.7,4.0,0.0,0.5,85.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christian Kirk,50.6,649.5,3.5,0.7,4.0,0.0,0.8,84.7,8.0,3.0,47.0,33.0,81.0,14.0,5.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,24.0,376.0,264.0,648.0,112.0,40.0,0.0,48.0,32.0,0.0,8.0,16.0,8.0
Romeo Doubs,45.2,575.2,4.3,0.0,0.5,0.0,0.5,82.3,13.0,4.0,46.0,36.0,68.0,10.0,4.0,0.0,6.0,4.0,1.0,1.0,2.0,1.0,52.0,598.0,468.0,884.0,130.0,52.0,0.0,78.0,52.0,13.0,13.0,26.0,13.0
Brandon Aiyuk,41.9,633.8,3.3,0.0,1.0,0.0,0.4,82.1,7.0,4.0,53.0,38.0,82.0,15.0,8.0,0.0,7.0,4.0,1.0,1.0,2.0,1.0,28.0,371.0,266.0,574.0,105.0,56.0,0.0,49.0,28.0,7.0,7.0,14.0,7.0
Wan'Dale Robinson,69.1,622.9,3.1,2.0,15.6,0.0,0.5,81.7,17.0,5.0,41.0,20.0,40.0,21.0,8.0,1.0,8.0,6.0,0.0,1.0,1.0,0.0,85.0,697.0,340.0,680.0,357.0,136.0,17.0,136.0,102.0,0.0,17.0,17.0,0.0
Luther Burden III,47.0,569.6,3.4,3.7,27.4,0.4,1.1,79.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
