Player,Team (Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Roman Wilson,PIT (5),96,291,,88.0,101.0,94.5,21.8,276.7,1.9,0.0,0.0,0.0,0.1,39.0
Andrei Iosivas,CIN (10),97,305,,96.0,93.0,94.5,30.4,363.5,3.4,0.0,0.0,0.0,0.1,56.6
Tre Tucker,LV (8),98,307,,,86.0,86.0,30.3,388.5,2.3,5.6,31.5,0.3,0.1,57.6
Diontae Johnson,CLE (9),99,296,,90.0,102.0,96.0,43.0,527.2,2.7,0.0,2.3,0.0,0.7,68.0
Xavier Restrepo,TEN (10),100,293,,89.0,,89.0,10.0,105.0,1.0,0.0,2.0,0.0,0.0,16.7
Jermaine Burton,CIN (10),101,311,,,90.0,90.0,18.1,239.8,2.0,0.0,2.0,0.0,0.1,35.7
Devaughn Vele,DEN (12),102,313,,,91.0,91.0,24.9,275.3,2.1,0.0,1.7,0.0,0.1,40.1
Jalen Tolbert,DAL (10),103,321,,102.0,95.0,98.5,34.3,400.7,3.5,0.0,0.0,0.0,0.1,60.9
Brandin Cooks,NO (11),104,299,,93.0,106.0,99.5,37.4,431.6,2.9,1.7,3.8,0.0,0.1,60.7
Jordan Whittington,LAR (8),105,308,,95.0,,95.0,34.1,397.8,2.4,1.1,13.9,0.0,0.1,55.6
KeAndre Lambert-Smith,LAC (12),106,328,,,96.0,96.0,5.9,77.7,0.6,0.0,3.0,0.0,0.0,11.4
Tutu Atwell,LAR (8),107,315,,98.0,103.0,100.5,39.1,498.0,2.2,4.3,20.2,0.1,0.1,65.3
Christian Watson,GB (5),108,312,,97.0,,97.0,19.9,366.6,2.3,4.3,17.0,0.0,0.4,51.6
Marquez Valdes-Scantling,SEA (8),109,325,,100.0,,100.0,24.3,402.9,2.4,2.6,10.0,0.1,0.0,55.7
Curtis Samuel,BUF (7),110,330,,103.0,,103.0,27.0,271.6,2.5,6.6,29.3,0.1,0.1,45.4
Noah Brown,WAS (12),111,334,,,104.0,104.0,31.8,406.4,1.9,0.0,0.0,0.0,0.1,51.8
Elijah Moore,BUF (7),112,335,,,105.0,105.0,14.5,159.6,1.2,0.0,1.3,0.0,0.0,23.4
Malik Washington,MIA (12),113,341,,,107.0,107.0,27.5,289.0,1.8,2.0,13.8,0.1,0.6,40.4
