Player,Team,(Bye),TE,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Isaiah Likely,BAL,7,20,169,19.0,18,23.0,20.0,41.4,495.5,4.8,0.7,77.0,16.0,3.0,30.0,14.0,29.0,16.0,5.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,48.0,480.0,224.0,464.0,256.0,80.0,0.0,64.0,48.0,0.0,16.0,16.0,0.0
Brenton Strange,JAC,8,21,168,24.0,24,20.0,22.7,55.3,548.7,3.3,0.5,73.6,17.0,2.0,24.0,13.0,20.0,11.0,6.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,34.0,408.0,221.0,340.0,187.0,102.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Pat Freiermuth,PIT,5,22,191,22.0,21,29.0,24.0,51.2,493.5,3.5,0.9,68.7,17.0,4.0,38.0,22.0,28.0,16.0,6.0,0.0,5.0,4.0,0.0,1.0,1.0,0.0,68.0,646.0,374.0,476.0,272.0,102.0,0.0,85.0,68.0,0.0,17.0,17.0,0.0
Darren Waller,MIA,12,23,220,18.0,33,27.0,26.0,52.6,579.4,3.4,0.1,77.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taysom Hill,NO,11,24,304,8.0,38,N/A,23.0,12.3,104.7,0.7,0.3,24.8,8.0,3.0,23.0,6.0,14.0,17.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,184.0,48.0,112.0,136.0,56.0,0.0,32.0,24.0,0.0,0.0,8.0,0.0
Cade Otton,TB,9,25,174,N/A,25,21.0,23.0,52.3,532.2,4.0,0.5,76.0,14.0,4.0,43.0,21.0,34.0,22.0,10.0,0.0,6.0,5.0,1.0,1.0,2.0,1.0,56.0,602.0,294.0,476.0,308.0,140.0,0.0,84.0,70.0,14.0,14.0,28.0,14.0
Mason Taylor,NYJ,9,26,178,N/A,23,24.0,23.5,44.9,452.7,2.6,0.5,59.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Gesicki,CIN,10,27,193,N/A,22,28.0,25.0,52.8,518.2,3.6,0.4,72.6,17.0,4.0,39.0,25.0,36.0,14.0,3.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,68.0,663.0,425.0,612.0,238.0,51.0,0.0,85.0,68.0,0.0,17.0,34.0,0.0
Chig Okonkwo,TEN,10,28,192,N/A,28,22.0,25.0,53.8,537.2,2.9,0.8,69.9,17.0,3.0,28.0,14.0,25.0,15.0,7.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,238.0,425.0,255.0,119.0,0.0,68.0,51.0,0.0,0.0,17.0,0.0
Dalton Schultz,HOU,6,29,200,N/A,26,26.0,26.0,49.9,510.1,3.1,0.4,68.9,17.0,3.0,31.0,19.0,41.0,13.0,4.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,51.0,527.0,323.0,697.0,221.0,68.0,0.0,85.0,51.0,0.0,0.0,17.0,0.0
