Player,Team,(Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Jarquez Hunter,LAR,8,66,199,N/A,67.0,62.0,64.5,57.1,245.0,1.9,8.5,68.7,0.4,0.7,43.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DJ Giddens,DJ,11,67,204,N/A,64.0,66.0,65.0,24.1,154.3,1.2,5.8,43.6,0.1,0.0,27.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Woody Marks,HOU,6,68,212,N/A,71.0,60.0,65.5,72.3,259.1,1.8,20.0,146.4,1.0,0.1,56.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brashard Smith,KC,10,69,205,N/A,60.0,72.0,66.0,9.7,97.0,0.7,10.9,80.3,0.7,0.0,25.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miles Sanders,DAL,10,70,214,N/A,70.0,65.0,67.5,93.9,404.7,2.3,12.0,77.2,0.6,0.5,64.5,11.0,5.0,11.0,7.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,55.0,121.0,77.0,0.0,11.0,-11.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
Will Shipley,PHI,9,71,213,N/A,69.0,67.0,68.0,37.4,199.7,1.3,8.3,61.8,0.4,0.1,36.3,13.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tahj Brooks,CIN,10,72,224,N/A,74.0,64.0,69.0,24.9,225.4,1.9,6.7,48.2,0.1,0.6,38.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacory Croskey-Merritt,WAS,12,73,227,N/A,80.0,61.0,70.5,33.0,169.4,1.4,3.7,27.3,0.1,0.0,28.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Devin Neal,NO,11,74,226,N/A,59.0,83.0,71.0,39.1,204.6,1.3,7.3,54.5,0.4,0.1,35.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samaje Perine,CIN,10,75,329,57.0,N/A,89.0,73.0,51.2,200.4,1.5,21.2,195.7,1.1,0.7,53.5,17.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,51.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
Keaton Mitchell,BAL,7,76,231,N/A,76.0,70.0,73.0,75.2,330.0,1.7,8.6,83.4,0.5,0.0,54.1,4.0,4.0,2.0,6.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,24.0,4.0,4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Mitchell,KC,10,77,249,N/A,82.0,68.0,75.0,62.5,235.9,1.9,8.5,49.6,0.4,0.1,42.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan James,SF,14,78,252,N/A,65.0,87.0,76.0,26.9,154.8,1.3,3.3,29.5,0.0,0.0,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaleel McLaughlin,DEN,12,79,251,N/A,68.0,85.0,76.5,30.5,142.6,0.8,18.2,110.3,0.9,0.5,34.3,16.0,7.0,19.0,12.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,304.0,192.0,16.0,16.0,-32.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0
Ollie Gordon II,II,12,80,263,N/A,73.0,82.0,77.5,31.9,151.3,1.2,5.1,36.3,0.1,0.4,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audric Estime,DEN,12,82,262,N/A,78.0,77.0,77.5,45.5,148.6,0.9,5.8,40.1,0.2,0.4,25.1,13.0,6.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,130.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Gibson,NE,14,83,265,N/A,85.0,73.0,79.0,51.5,209.5,1.0,15.7,127.0,0.5,0.0,42.4,17.0,7.0,13.0,19.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,119.0,221.0,323.0,17.0,17.0,-34.0,17.0,0.0,0.0,0.0,0.0,34.0,0.0
A.J. Dillon,PHI,9,84,277,N/A,N/A,74.0,74.0,50.1,199.1,1.6,3.6,28.6,0.1,0.0,32.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sean Tucker,TB,9,85,292,N/A,N/A,78.0,78.0,44.8,231.4,1.4,5.1,40.1,0.3,0.7,36.1,17.0,3.0,11.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,187.0,136.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Ty Johnson,BUF,7,86,297,N/A,N/A,80.0,80.0,45.7,208.1,1.0,15.2,164.8,1.5,0.1,51.6,17.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
Devin Singletary,NYG,14,87,309,N/A,81.0,86.0,83.5,51.8,235.2,1.5,9.4,63.3,0.1,0.4,39.1,16.0,7.0,13.0,14.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,208.0,224.0,16.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0
Khalil Herbert,IND,11,88,322,N/A,83.0,N/A,83.0,84.6,325.0,2.1,8.3,54.0,0.2,0.0,51.8,12.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,72.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
Damien Martinez,SEA,8,89,327,N/A,84.0,N/A,84.0,8.6,97.0,0.6,3.0,22.0,0.0,0.0,15.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenneth Gainwell,PIT,5,90,328,N/A,N/A,88.0,88.0,53.9,196.5,1.3,12.5,88.6,0.4,0.4,37.7,17.0,4.0,10.0,8.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,170.0,136.0,0.0,0.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Emanuel Wilson,GB,5,91,334,N/A,N/A,90.0,90.0,41.9,202.7,1.4,7.4,53.9,0.4,0.3,35.6,17.0,6.0,15.0,14.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,102.0,255.0,238.0,17.0,0.0,-17.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0
Kimani Vidal,LAC,12,92,337,N/A,N/A,91.0,91.0,35.4,105.4,0.6,5.4,41.2,0.3,0.0,20.0,10.0,4.0,8.0,7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,80.0,70.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Dameon Pierce,HOU,6,93,339,N/A,N/A,92.0,92.0,4.5,81.6,0.7,5.8,40.1,0.1,1.0,15.4,11.0,4.0,7.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,77.0,220.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Mafah,DAL,10,94,341,N/A,N/A,93.0,93.0,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isaiah Davis,NYJ,9,95,342,N/A,N/A,94.0,94.0,28.3,144.5,0.8,5.1,36.3,0.1,0.0,23.7,14.0,2.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,70.0,112.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0
