Player,Team,(Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Omarion Hampton,LAC,12,16,35,20.0,15.0,14.0,16.3,222.7,970.8,8.5,35.7,276.4,1.5,2.1,180.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kenneth Walker III,III,8,17,43,16.0,17.0,17.0,16.7,234.8,968.3,8.2,43.3,309.2,1.3,1.3,181.9,11.0,14.0,24.0,28.0,1.0,2.0,-5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,154.0,264.0,308.0,11.0,22.0,-55.0,11.0,0.0,0.0,0.0,0.0,55.0,11.0
Chuba Hubbard,CAR,14,18,45,18.0,19.0,18.0,18.3,229.8,1031.7,7.6,37.8,229.8,1.1,1.8,174.3,15.0,17.0,44.0,36.0,1.0,1.0,-2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,255.0,660.0,540.0,15.0,15.0,-30.0,30.0,15.0,0.0,0.0,0.0,60.0,15.0
James Conner,ARI,8,19,48,17.0,20.0,21.0,19.3,213.9,971.3,7.8,41.2,314.9,1.7,1.4,182.7,16.0,15.0,33.0,35.0,2.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,240.0,528.0,560.0,32.0,16.0,-48.0,32.0,0.0,0.0,0.0,0.0,48.0,0.0
David Montgomery,DET,8,20,56,22.0,21.0,24.0,22.3,196.6,819.0,8.9,31.4,258.4,0.9,1.0,164.5,14.0,13.0,25.0,31.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,182.0,350.0,434.0,14.0,14.0,-14.0,14.0,0.0,0.0,0.0,0.0,42.0,0.0
TreVeyon Henderson,NE,14,21,51,25.0,24.0,19.0,22.7,202.6,891.8,5.7,33.3,258.7,1.5,1.7,154.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Mixon,HOU,6,22,57,23.0,18.0,28.0,23.0,206.7,822.4,7.5,33.4,258.6,1.3,0.9,159.2,14.0,18.0,39.0,33.0,1.0,3.0,-6.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,252.0,546.0,462.0,14.0,42.0,-84.0,28.0,14.0,0.0,0.0,0.0,56.0,14.0
D'Andre Swift,CHI,5,23,59,21.0,28.0,20.0,23.0,238.7,967.1,6.1,36.5,282.9,1.2,1.1,167.0,17.0,15.0,30.0,26.0,0.0,2.0,-5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,255.0,510.0,442.0,0.0,34.0,-85.0,17.0,0.0,0.0,0.0,0.0,51.0,0.0
Aaron Jones Sr.,MIN,6,24,64,19.0,26.0,25.0,23.3,198.9,890.9,4.6,45.0,331.4,2.3,1.8,159.8,17.0,15.0,36.0,31.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,255.0,612.0,527.0,17.0,17.0,-34.0,17.0,0.0,0.0,0.0,0.0,68.0,17.0
RJ Harvey,RJ,12,25,53,27.0,22.0,22.0,23.7,174.0,761.8,5.2,33.6,257.3,1.6,1.0,140.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
