"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"61","Drew Sample (CIN)","17","1","6","2","2","5","1","0","1","1","0","0","0","0","0","0","0"
"62","Erick All Jr. (CIN)","9","2","18","8","8","10","2","0","2","2","0","0","1","0","0","0","0"
"63","Eric Saubert (SEA)","13","1","7","5","7","3","0","0","1","1","0","0","0","0","0","0","0"
"64","Michael Mayer (LV)","11","2","14","9","18","6","2","0","3","2","0","1","0","0","0","0","0"
"65","Lucas Krull (DEN)","13","1","12","7","9","5","2","0","2","1","0","0","1","0","0","0","0"
"66","Daniel Bellinger (NYG)","17","1","7","4","5","3","1","0","1","1","0","0","0","0","0","0","0"
"67","Blake Whiteheart (CLE)","11","1","5","4","7","1","1","0","1","1","0","0","0","0","0","0","0"
"68","Kenny Yeboah (DET)","7","1","7","2","5","5","0","0","1","1","0","0","0","0","0","0","0"
"69","Jeremy Ruckert (NYJ)","17","1","6","1","6","5","1","0","2","1","0","0","0","0","0","0","0"
"70","Connor Heyward (PIT)","17","0","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0"
"71","Julian Hill (MIA)","16","1","6","3","8","4","2","0","1","1","0","0","0","0","0","0","0"
"72","MyCole Pruitt (FA)","8","1","5","3","3","2","1","0","1","1","0","0","0","0","0","0","0"
"73","Quintin Morris (JAC)","10","1","4","1","7","2","0","0","1","1","0","0","0","0","0","0","0"
"74","Chris Manhertz (NYG)","17","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"75","Devin Culp (TB)","5","1","18","11","15","6","4","0","1","1","0","0","1","0","0","0","0"
"76","Ben Sinnott (WAS)","17","0","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"77","Brevyn Spann-Ford (DAL)","17","1","5","2","5","3","1","0","1","1","0","0","0","0","0","0","0"
"78","Harrison Bryant (PHI)","6","2","14","3","7","12","4","0","2","2","0","0","1","0","0","0","0"
"79","Hayden Hurst (FA)","7","1","10","8","9","3","1","0","2","1","0","0","0","0","0","0","0"
"80","Luke Farrell (SF)","12","1","6","3","7","3","1","0","1","1","0","0","0","0","0","0","0"
"81","John Bates (WAS)","17","0","5","2","4","3","1","0","1","1","0","0","0","0","0","0","0"
